Position	Const	Created	Modified	Description	Title	URL	Title Type	IMDb Rating	Runtime (mins)	Year	Genres	Num Votes	Release Date	Directors
1	tt0109830	2013-06-10	2013-06-10	"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."	Forrest Gump	https://www.imdb.com/title/tt0109830/	movie	8.8	142	1994	"Drama, Romance"	2241648	1994-06-23	Robert Zemeckis
2	tt0111161	2013-06-10	2013-06-10	"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."	The Shawshank Redemption	https://www.imdb.com/title/tt0111161/	movie	9.3	142	1994	Drama	2870825	1994-09-10	Frank Darabont
3	tt1659337	2013-06-10	2013-06-10	"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past."	The Perks of Being a Wallflower	https://www.imdb.com/title/tt1659337/	movie	7.9	103	2012	Drama	545393	2012-09-08	Stephen Chbosky
4	tt0468569	2013-06-10	2013-06-10	"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."	The Dark Knight	https://www.imdb.com/title/tt0468569/	movie	9.0	152	2008	"Action, Crime, Drama, Thriller"	2852857	2008-07-14	Christopher Nolan
5	tt0824747	2013-06-10	2013-06-10	"After Christine's son goes missing, she reaches out to the LAPD to find him. But when they try to pass off an impostor as her son to quieten public protests, she refuses to accept him or give up hope."	Changeling	https://www.imdb.com/title/tt0824747/	movie	7.8	141	2008	"Biography, Crime, Drama, History, Mystery, Thriller"	264688	2008-05-20	Clint Eastwood
6	tt0108330	2013-06-10	2013-06-10	"The story about the relationship between a rebellious 1950s teenager and his abusive stepfather, based on the memoirs of writer and literature Professor Tobias Wolff."	This Boy's Life	https://www.imdb.com/title/tt0108330/	movie	7.3	115	1993	"Biography, Drama"	58069	1993-04-09	Michael Caton-Jones
7	tt0038650	2013-06-10	2013-06-10	An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.	It's a Wonderful Life	https://www.imdb.com/title/tt0038650/	movie	8.6	130	1946	"Drama, Family, Fantasy, Romance"	497067	1946-12-20	Frank Capra
8	tt0102926	2013-06-10	2013-06-10	"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."	The Silence of the Lambs	https://www.imdb.com/title/tt0102926/	movie	8.6	118	1991	"Crime, Drama, Thriller"	1539029	1991-01-30	Jonathan Demme
9	tt0298203	2013-06-10	2013-06-10	"Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem."	8 Mile	https://www.imdb.com/title/tt0298203/	movie	7.2	110	2002	"Drama, Music"	318862	2002-09-08	Curtis Hanson
10	tt0088847	2013-06-10	2013-06-10	Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.	The Breakfast Club	https://www.imdb.com/title/tt0088847/	movie	7.8	97	1985	"Comedy, Drama"	434036	1985-02-07	John Hughes
11	tt1853728	2013-06-10	2013-06-10	"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."	Django Unchained	https://www.imdb.com/title/tt1853728/	movie	8.5	165	2012	"Drama, Western"	1682865	2012-12-11	Quentin Tarantino
12	tt1045658	2013-06-10	2013-06-10	"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."	Silver Linings Playbook	https://www.imdb.com/title/tt1045658/	movie	7.7	122	2012	"Comedy, Drama, Romance"	740268	2012-09-08	David O. Russell
13	tt0081505	2013-06-10	2013-06-10	"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."	The Shining	https://www.imdb.com/title/tt0081505/	movie	8.4	146	1980	"Drama, Horror"	1100057	1980-05-23	Stanley Kubrick
14	tt0114369	2013-06-10	2013-06-10	"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."	Se7en	https://www.imdb.com/title/tt0114369/	movie	8.6	127	1995	"Crime, Drama, Mystery, Thriller"	1786666	1995-09-15	David Fincher
15	tt0169547	2013-06-10	2013-06-10	A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.	American Beauty	https://www.imdb.com/title/tt0169547/	movie	8.3	122	1999	Drama	1206289	1999-09-08	Sam Mendes
16	tt0110912	2013-06-10	2013-06-10	"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."	Pulp Fiction	https://www.imdb.com/title/tt0110912/	movie	8.9	154	1994	"Crime, Drama"	2205112	1994-05-21	Quentin Tarantino
17	tt1790885	2013-06-10	2013-06-10	"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."	Zero Dark Thirty	https://www.imdb.com/title/tt1790885/	movie	7.4	157	2012	"Drama, History, Thriller"	317767	2012-12-10	Kathryn Bigelow
18	tt1024648	2013-06-10	2013-06-10	"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."	Argo	https://www.imdb.com/title/tt1024648/	movie	7.7	120	2012	"Biography, Drama, Thriller"	637265	2012-08-31	Ben Affleck
19	tt0887912	2013-06-10	2013-06-10	"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work."	The Hurt Locker	https://www.imdb.com/title/tt0887912/	movie	7.5	131	2008	"Drama, Thriller, War"	472222	2008-09-04	Kathryn Bigelow
20	tt0068646	2013-06-10	2013-06-10	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.	The Godfather	https://www.imdb.com/title/tt0068646/	movie	9.2	175	1972	"Crime, Drama"	1999626	1972-03-14	Francis Ford Coppola
21	tt0840361	2013-06-10	2013-06-10	A proficient group of thieves rob a bank and hold an assistant manager hostage. Things begin to get complicated when one of the crew members falls in love with her.	The Town	https://www.imdb.com/title/tt0840361/	movie	7.5	125	2010	"Crime, Drama, Thriller"	413816	2010-09-08	Ben Affleck
22	tt0407887	2013-06-10	2013-06-10	An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.	The Departed	https://www.imdb.com/title/tt0407887/	movie	8.5	151	2006	"Crime, Drama, Thriller"	1414419	2006-09-26	Martin Scorsese
23	tt0117571	2013-06-10	2013-06-10	"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game."	Scream	https://www.imdb.com/title/tt0117571/	movie	7.4	111	1996	"Horror, Mystery"	386224	1996-12-18	Wes Craven
24	tt1193138	2013-06-10	2013-06-10	"Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model."	Up in the Air	https://www.imdb.com/title/tt1193138/	movie	7.4	109	2009	"Comedy, Drama, Romance"	348616	2009-09-05	Jason Reitman
25	tt0108550	2013-06-10	2013-06-10	A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.	What's Eating Gilbert Grape	https://www.imdb.com/title/tt0108550/	movie	7.7	118	1993	Drama	252946	1993-10-01	Lasse Hallström
26	tt0335266	2013-06-10	2013-06-10	A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.	Lost in Translation	https://www.imdb.com/title/tt0335266/	movie	7.7	102	2003	"Comedy, Drama"	485881	2003-08-29	Sofia Coppola
27	tt1457767	2013-07-21	2013-07-21	Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.	The Conjuring	https://www.imdb.com/title/tt1457767/	movie	7.5	112	2013	"Horror, Mystery, Thriller"	551552	2013-06-08	James Wan
28	tt0467406	2013-06-10	2013-06-10	"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child."	Juno	https://www.imdb.com/title/tt0467406/	movie	7.4	96	2007	"Comedy, Drama"	547347	2007-09-01	Jason Reitman
29	tt0092005	2013-06-10	2013-06-10	A writer recounts a childhood journey with his friends to find the body of a missing boy.	Stand by Me	https://www.imdb.com/title/tt0092005/	movie	8.1	89	1986	"Adventure, Comedy, Drama"	438937	1986-08-06	Rob Reiner
30	tt0120689	2013-06-10	2013-06-10	"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution."	The Green Mile	https://www.imdb.com/title/tt0120689/	movie	8.6	189	1999	"Crime, Drama, Fantasy, Mystery"	1398440	1999-12-06	Frank Darabont
31	tt1650062	2013-06-10	2013-06-10	"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."	Super 8	https://www.imdb.com/title/tt1650062/	movie	7.0	112	2011	"Action, Mystery, Sci-Fi, Thriller"	366623	2011-06-09	J.J. Abrams
32	tt0418763	2013-06-10	2013-06-10	"A psychological study of Marine's state of mind during the Gulf War. Told through the eyes of a U.S. Marine sniper who struggles to cope with boredom, a sense of isolation, and other issues back home."	Jarhead	https://www.imdb.com/title/tt0418763/	movie	7.0	125	2005	"Biography, Drama, War"	205314	2005-10-27	Sam Mendes
33	tt0100157	2013-06-10	2013-06-10	"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."	Misery	https://www.imdb.com/title/tt0100157/	movie	7.8	107	1990	"Drama, Thriller"	234003	1990-11-29	Rob Reiner
34	tt0137523	2013-06-10	2013-06-10	An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.	Fight Club	https://www.imdb.com/title/tt0137523/	movie	8.8	139	1999	Drama	2306316	1999-09-10	David Fincher
35	tt1130884	2013-06-10	2013-06-10	"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."	Shutter Island	https://www.imdb.com/title/tt1130884/	movie	8.2	138	2010	"Mystery, Thriller"	1444857	2010-02-13	Martin Scorsese
36	tt1212450	2013-06-10	2013-06-10	"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."	Lawless	https://www.imdb.com/title/tt1212450/	movie	7.2	116	2012	"Biography, Crime, Drama"	252727	2012-05-19	John Hillcoat
37	tt1399683	2013-06-10	2013-06-10	An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.	Winter's Bone	https://www.imdb.com/title/tt1399683/	movie	7.1	100	2010	"Drama, Mystery"	150064	2010-01-21	Debra Granik
38	tt0075314	2013-06-10	2013-06-10	"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."	Taxi Driver	https://www.imdb.com/title/tt0075314/	movie	8.2	114	1976	"Crime, Drama"	914536	1976-02-08	Martin Scorsese
