Name	Stars
The Shawshank	"Tim Robbins, Morgan Freeman, Bob Gunton"
The Godfather	"Marlon Brando, Al Pacino, James Caan"
The Dark Knight	"Christian Bale, Heath Ledger, Aaron Eckhart"
The Godfather Part II	"Al Pacino, Robert De Niro, Robert Duvall"
12 Angry Men	"Henry Fonda, Lee J. Cobb, Martin Balsam"
Schindler's List	"Liam Neeson, Ralph Fiennes, Ben Kingsley"
The Lord of the Rings: The Return of the King	"Elijah Wood, Viggo Mortensen, Ian McKellen"
Pulp Fiction	"John Travolta, Uma Thurman, Samuel L. Jackson"
The Lord of the Rings: The Fellowship of the Ring	"Elijah Wood, Ian McKellen, Orlando Bloom"
"The Good, the Bad and the Ugly"	"Clint Eastwood, Eli Wallach, Lee Van Cleef"
Forrest Gump	"Tom Hanks, Robin Wright, Gary Sinise"
Fight Club	"Brad Pitt, Edward Norton, Meat Loaf"
Spider-Man: Across the Spider-Verse	"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
The Lord of the Rings: The Two Towers	"Elijah Wood, Ian McKellen, Viggo Mortensen"
Inception	"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
Star Wars: Episode V - The Empire Strikes Back	"Mark Hamill, Harrison Ford, Carrie Fisher"
The Matrix	"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
GoodFellas	"Robert De Niro, Ray Liotta, Joe Pesci"
One Flew Over the Cuckoo's Nest	"Jack Nicholson, Louise Fletcher, Michael Berryman"
Seven	"Morgan Freeman, Brad Pitt, Kevin Spacey"
It's a Wonderful Life	"James Stewart, Donna Reed, Lionel Barrymore"
Seven Samurai	"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
The Silence of the Lambs	"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney"
Saving Private Ryan	"Tom Hanks, Matt Damon, Tom Sizemore"
City of God	"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
Interstellar	"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
Life Is Beautiful	"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
The Green Mile	"Tom Hanks, Michael Clarke Duncan, David Morse"
Star Wars: Episode IV - A New Hope	"Mark Hamill, Harrison Ford, Carrie Fisher"
Terminator 2: Judgment Day	"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
Back to the Future	"Michael J. Fox, Christopher Lloyd, Lea Thompson"
Spirited Away	"Daveigh Chase, Suzanne Pleshette, Miyu Irino"
The Pianist	"Adrien Brody, Thomas Kretschmann, Frank Finlay"
Psycho	"Anthony Perkins, Janet Leigh, Vera Miles"
Parasite	"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
Leon	"Jean Reno, Gary Oldman, Natalie Portman"
The Lion King	"Matthew Broderick, Jeremy Irons, James Earl Jones"
Gladiator	"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
American History X	"Edward Norton, Edward Furlong, Beverly D'Angelo"
The Departed	"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
Whiplash	"Miles Teller, J.K. Simmons, Melissa Benoist"
The Prestige	"Christian Bale, Hugh Jackman, Scarlett Johansson"
The Usual Suspects	"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
Casablanca	"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
Grave of the Fireflies	"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
Harakiri	"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
Untouchable	"François Cluzet, Omar Sy, Anne Le Ny"
Modern Times	"Charles Chaplin, Paulette Goddard, Henry Bergman"
